t,y
0.000000000000000000e+00,-5.299072867871870013e-03
1.010101010101010187e-02,1.580069569306716618e-02
2.020202020202020374e-02,3.751689800237919398e-02
3.030303030303030387e-02,5.445743574762183792e-02
4.040404040404040747e-02,7.316920118026705444e-02
5.050505050505051108e-02,1.044861873544046527e-01
6.060606060606060774e-02,1.133796924036171994e-01
7.070707070707071829e-02,1.324846600270675745e-01
8.080808080808081495e-02,1.617264032567539978e-01
9.090909090909091161e-02,1.790815747402311753e-01
1.010101010101010222e-01,1.963982987832865457e-01
1.111111111111111188e-01,2.109683466336317592e-01
1.212121212121212155e-01,2.309855941222050679e-01
1.313131313131313260e-01,2.684850545436194835e-01
1.414141414141414366e-01,2.711125847347053974e-01
1.515151515151515194e-01,2.922833310986627242e-01
1.616161616161616299e-01,3.160037112136819815e-01
1.717171717171717404e-01,3.299173833501606867e-01
1.818181818181818232e-01,3.535787265555688230e-01
1.919191919191919338e-01,3.724984721568599944e-01
2.020202020202020443e-01,3.889910172979064718e-01
2.121212121212121271e-01,4.075249606402530644e-01
2.222222222222222376e-01,4.291579382888616179e-01
2.323232323232323482e-01,4.486657170047816945e-01
2.424242424242424310e-01,4.695424519565235544e-01
2.525252525252525415e-01,4.771193146547160757e-01
2.626262626262626521e-01,4.941608846635867636e-01
2.727272727272727626e-01,5.106907745854405434e-01
2.828282828282828731e-01,5.354807331299326068e-01
2.929292929292929282e-01,5.454536206910763907e-01
3.030303030303030387e-01,5.611163265729769423e-01
3.131313131313131493e-01,5.906905904975241484e-01
3.232323232323232598e-01,6.004502397903733746e-01
3.333333333333333703e-01,6.253363534082206909e-01
3.434343434343434809e-01,6.295886786782045608e-01
3.535353535353535914e-01,6.497644571408868197e-01
3.636363636363636465e-01,6.661174875375696081e-01
3.737373737373737570e-01,6.844100544794932128e-01
3.838383838383838675e-01,6.922673731424761057e-01
3.939393939393939781e-01,7.010935179102334436e-01
4.040404040404040886e-01,7.132436773771954064e-01
4.141414141414141992e-01,7.291955882810691181e-01
4.242424242424242542e-01,7.441794933916492383e-01
4.343434343434343647e-01,7.588840914015868577e-01
4.444444444444444753e-01,7.774204171896759163e-01
4.545454545454545858e-01,7.819863067677083057e-01
4.646464646464646964e-01,7.931034242267964718e-01
4.747474747474748069e-01,8.077845842066454507e-01
4.848484848484848619e-01,8.275202250726292341e-01
4.949494949494949725e-01,8.394951273167748917e-01
5.050505050505050830e-01,8.484364302863314222e-01
5.151515151515152491e-01,8.671160157805095636e-01
5.252525252525253041e-01,8.700790735452224034e-01
5.353535353535353591e-01,8.744389855663771138e-01
5.454545454545455252e-01,8.887863871347018163e-01
5.555555555555555802e-01,8.906596548733926033e-01
5.656565656565657463e-01,9.026884997466840810e-01
5.757575757575758013e-01,9.077107336813934335e-01
5.858585858585858563e-01,9.222257624356073880e-01
5.959595959595960224e-01,9.253235860614115182e-01
6.060606060606060774e-01,9.340364841978542332e-01
6.161616161616162435e-01,9.402837612920850185e-01
6.262626262626262985e-01,9.457122894690344062e-01
6.363636363636364646e-01,9.596143593480788159e-01
6.464646464646465196e-01,9.693086986977397235e-01
6.565656565656565746e-01,9.652754674559620440e-01
6.666666666666667407e-01,9.803533089794839173e-01
6.767676767676767957e-01,9.728021351259410476e-01
6.868686868686869618e-01,9.731633539004233002e-01
6.969696969696970168e-01,9.759624666883121025e-01
7.070707070707071829e-01,9.825889898700186365e-01
7.171717171717172379e-01,9.970057694708787110e-01
7.272727272727272929e-01,9.916546936589213379e-01
7.373737373737374590e-01,9.854764617750849665e-01
7.474747474747475140e-01,9.999413773710001951e-01
7.575757575757576801e-01,9.983204142546714399e-01
7.676767676767677351e-01,9.949550773157918027e-01
7.777777777777777901e-01,9.925818739077101327e-01
7.878787878787879562e-01,9.979508417279462362e-01
7.979797979797980112e-01,1.008842641821898090e+00
8.080808080808081773e-01,9.947107390895395529e-01
8.181818181818182323e-01,9.916079084921954889e-01
8.282828282828283983e-01,1.006179510715558667e+00
8.383838383838384534e-01,1.000978246057344423e+00
8.484848484848485084e-01,9.864408231947535688e-01
8.585858585858586745e-01,9.838392097125587821e-01
8.686868686868687295e-01,9.918780745427688839e-01
8.787878787878788955e-01,9.768583375215132980e-01
8.888888888888889506e-01,9.738103199310949032e-01
8.989898989898991166e-01,9.654069772113048620e-01
9.090909090909091717e-01,9.690424773121923963e-01
9.191919191919192267e-01,9.721135103415683432e-01
9.292929292929293927e-01,9.660015692265965237e-01
9.393939393939394478e-01,9.509612555255427813e-01
9.494949494949496138e-01,9.528497230560420972e-01
9.595959595959596689e-01,9.422600475378485330e-01
9.696969696969697239e-01,9.269996189946876353e-01
9.797979797979798899e-01,9.283894715202026804e-01
9.898989898989899450e-01,9.215754490240829488e-01
1.000000000000000000e+00,9.178456487472682612e-01
